name,rank_o,rank_d,rank_diff
Iowa Hawkeyes,130,6,124
North Carolina Tar Heels,16,125,109
Temple Owls,123,16,107
Boise State Broncos,120,15,105
Georgia Southern Eagles,10,109,99
Virginia Tech Hokies,106,10,96
Tennessee Volunteers,1,95,94
North Texas Mean Green,30,122,92
Rutgers Scarlet Knights,97,9,88
UTSA Roadrunners,27,111,84
Nebraska Cornhuskers,43,126,83
Fresno State Bulldogs,21,98,77
SMU Mustangs,14,87,73
New Mexico Lobos,129,57,72
Kentucky Wildcats,88,17,71
UMass Minutemen,127,59,68
Texas A&M Aggies,108,40,68
San José State Spartans,104,37,67
Texas State Bobcats,93,27,66
Maryland Terrapins,31,97,66
Arkansas Razorbacks,26,90,64
UTEP Miners,105,41,64
Tulsa Golden Hurricane,13,77,64
Miami (OH) RedHawks,118,55,63
Oklahoma State Cowboys,8,71,63
Ohio Bobcats,66,129,63
Oregon Ducks,17,80,63
Kansas Jayhawks,32,94,62
Iowa State Cyclones,76,14,62
TCU Horned Frogs,9,68,59
NC State Wolfpack,69,13,56
Missouri Tigers,77,21,56
Tulane Green Wave,60,4,56
Middle Tennessee Blue Raiders,100,44,56
Oklahoma Sooners,7,62,55
Florida Atlantic Owls,36,89,53
Boston College Eagles,121,73,48
Georgia State Panthers,70,118,48
Duke Blue Devils,37,83,46
Central Michigan Chippewas,47,93,46
Navy Midshipmen,107,61,46
Ball State Cardinals,50,96,46
Memphis Tigers,63,106,43
Arizona Wildcats,61,103,42
Auburn Tigers,89,48,41
Syracuse Orange,78,39,39
USC Trojans,25,63,38
Illinois Fighting Illini,42,5,37
Florida Gators,68,105,37
Virginia Cavaliers,87,50,37
Kansas State Wildcats,81,45,36
Louisiana Ragin' Cajuns,103,67,36
Notre Dame Fighting Irish,94,58,36
Stanford Cardinal,53,88,35
Charlotte 49ers,96,130,34
Indiana Hoosiers,74,108,34
Baylor Bears,58,24,34
Eastern Michigan Eagles,84,117,33
Toledo Rockets,86,54,32
Northwestern Wildcats,49,81,32
James Madison Dukes,35,3,32
San Diego State Aztecs,116,84,32
Army Black Knights,54,86,32
New Mexico State Aggies,124,92,32
Penn State Nittany Lions,33,64,31
Houston Cougars,82,113,31
Marshall Thundering Herd,62,31,31
UL Monroe Warhawks,109,79,30
Western Kentucky Hilltoppers,12,42,30
Arizona State Sun Devils,101,72,29
Vanderbilt Commodores,90,119,29
Pittsburgh Panthers,65,36,29
Coastal Carolina Chanticleers,38,66,28
Buffalo Bulls,83,110,27
Colorado State Rams,128,101,27
Liberty Flames,79,53,26
Wisconsin Badgers,55,33,22
Louisiana Tech Bulldogs,92,114,22
Mississippi State Bulldogs,56,34,22
Utah Utes,28,7,21
Kent State Golden Flashes,95,116,21
Nevada Wolf Pack,122,102,20
South Alabama Jaguars,44,25,19
UNLV Rebels,51,70,19
Rice Owls,71,52,19
UAB Blazers,67,49,18
Wake Forest Demon Deacons,52,69,17
Troy Trojans,73,56,17
Washington Huskies,5,22,17
Ohio State Buckeyes,2,18,16
Purdue Boilermakers,48,32,16
Western Michigan Broncos,119,104,15
Bowling Green Falcons,113,127,14
UConn Huskies,126,112,14
Southern Miss Golden Eagles,98,85,13
Florida State Seminoles,15,28,13
Cincinnati Bearcats,39,26,13
Washington State Cougars,91,78,13
East Carolina Pirates,34,46,12
California Golden Bears,64,76,12
Georgia Tech Yellow Jackets,112,100,12
Hawai'i Rainbow Warriors,111,123,12
Michigan Wolverines,19,8,11
South Carolina Gamecocks,80,91,11
Florida International Panthers,117,128,11
South Florida Bulls,110,120,10
Akron Zips,114,124,10
LSU Tigers,22,12,10
UCLA Bruins,11,20,9
Texas Tech Red Raiders,29,38,9
Ole Miss Rebels,20,29,9
Northern Illinois Huskies,99,107,8
Georgia Bulldogs,4,11,7
Clemson Tigers,40,47,7
Appalachian State Mountaineers,59,65,6
UCF Knights,24,30,6
Louisville Cardinals,45,51,6
BYU Cougars,41,35,6
West Virginia Mountaineers,18,23,5
Colorado Buffaloes,125,121,4
Air Force Falcons,23,19,4
Alabama Crimson Tide,6,2,4
Michigan State Spartans,85,82,3
Texas Longhorns,72,75,3
Miami Hurricanes,46,43,3
Utah State Aggies,102,99,3
Oregon State Beavers,57,60,3
Minnesota Golden Gophers,3,1,2
Arkansas State Red Wolves,75,74,1
Old Dominion Monarchs,115,115,0
